"{""Objective"":""Generate an ultra-realistic street-fashion portrait of a young man walking confidently outdoors based on the provided reference image."",""Scene_Description"":{""Environment"":{""Setting"":""Wet pavement near a modern café"",""Background"":{""Style"":""Blurred urban environment"",""Elements"":[""Palm tree"",""Orange and black road barriers"",""Soft urban structures""]},""Lighting"":{""Type"":""Warm natural sunlight"",""Effects"":[""Crisp shadows"",""Golden highlights on clothing and hair"",""Instagram-style warm color mood""]},""Atmosphere"":""Casual, stylish, modern street fashion""},""Subject"":{""Identity"":""Maintain facial features consistent with the provided reference image"",""Appearance"":{""Hair"":""Stylish, slightly messy natural hairstyle"",""Expression"":""Calm, confident""},""Pose"":{""Action"":""Walking confidently on wet pavement"",""Hands"":""Partially in pockets"",""Body_Language"":""Relaxed yet assured, modern fashion posture""}}},""Wardrobe"":{""Outfit"":{""Jacket"":""Beige jacket"",""Shirt"":""White T-shirt"",""Pants"":""Baggy olive jeans"",""Footwear"":""White sneakers""}},""Visual_Style"":{""Aesthetic"":""Instagram-style street fashion"",""Quality"":""Ultra-realistic with sharp details"",""Color_Profile"":""Warm sunlight tones with soft urban contrast"",""Detail_Characteristics"":[""Realistic fabric texture"",""Wet pavement reflections"",""Cinematic blur and depth"",""High clarity in subject’s face and clothing""]},""Output_Requirements"":{""Format"":""Image"",""Quality"":""High-detail, photorealistic, street-fashion editorial""}}",Image Generation / Fashion Photography
"{""prompt"":""Hyper-realistic studio portrait of a young woman with long brown hair, seated in a dark brown or burgundy leather armchair. She is leaning slightly forward, resting her chin on her right hand. She is wearing a white collared blouse, partially unbuttoned, and a thick, patterned scarf draped around her neck, featuring shades of burgundy, navy, and silver/dark gray. The setting is sophisticated indoors with smooth, beige walls adorned with classic framed art pieces (golden frames visible). The lighting is soft golden-hour cinematic, casting a strong, warm light from the left side, creating highlights on her face and shoulder and long soft shadows. The overall aesthetic is warm, luxurious, and elegant, resembling a fashion editorial. Half-body shot, natural expression, natural skin texture, fine film grain, shallow depth of field with strong bokeh in the background."",""style_tags"":[""8k"",""cinematic lighting"",""photo realism"",""bokeh"",""studio portrait"",""fashion editorial"",""luxurious"",""elegant""],""camera_settings"":{""shot_type"":""half-body"",""depth_of_field"":""shallow"",""lighting"":""golden-hour cinematic, soft shadows"",""color_palette"":""warm tones""}}",Image Generation / Warm Elegant Fashion Editorial Portrait
"{""subject"":{""description"":""A young woman taking a mirror selfie with very long voluminous dark waves and soft wispy bangs"",""age"":""young adult"",""expression"":""confident and slightly playful"",""hair"":{""color"":""dark"",""style"":""very long, voluminous waves with soft wispy bangs""},""clothing"":{""top"":{""type"":""fitted cropped t-shirt"",""color"":""cream white"",""details"":""features a large cute anime-style cat face graphic with big blue eyes, whiskers, and a small pink mouth""}}},""face"":{""preserve_original"":true,""makeup"":""natural glam makeup with soft pink dewy blush and glossy red pouty lips""}}",Image Generation / Natural Glam Mirror Selfie Portrait
"{""title"":""Stylized Woman Portrait Against Scribbled Wall"",""description"":""A stylized, full-body portrait of a young woman with curly hair standing in profile against a wall covered in chaotic diagrams and handwritten text."",""subject"":{""type"":""Young woman "",""details"":{""body_position"":""Full-body, standing in profile, facing left"",""expression"":""Pensive, slightly upward gaze"",""skin_color"":""Dark skin tone"",""hair"":""Thick, unruly, voluminous curly hair cascading over shoulders"",""clothing"":""Loose oversized shirt with rolled sleeves, high-waisted trousers, casual but confident posture"",""build"":""Slender yet strong, natural and relaxed stance""}},""background"":""Dense chaotic wall covered in overlapping scribbled diagrams, mathematical equations, fragmented poetry, and handwritten notes in various inks"",""style"":""Stylized digital illustration, dramatic side lighting, high contrast, slight grain, cinematic color grading with muted earth tones and pops of warm amber"",""mood"":""Introspective, mysterious, intellectual intensity""}",Image Generation / Stylized Portrait
"{""description"":""A hyper-realistic, close-up portrait of a woman's face and upper body."",""requirements"":{""face_accuracy"":""The woman's face, eyes, and expression must be rendered exactly as they appear in the uploaded image, preserving all specific facial features and eye color without alteration."",""wardrobe"":{""outfit"":""A flowy, dark blue dress"",""details"":""Ruffled sleeves""},""background"":{""setting"":""Dark background"",""mood"":""Intimate, indoor atmosphere""}},""style"":{""rendering"":""Hyper-realistic"",""lighting"":""Soft, subtle indoor lighting emphasizing facial details""}}",Image Generation / Hyper-realistic Portrait
"{""art_metadata"":{""medium"":""Digital illustration"",""style"":[""Striking"",""High-contrast""]},""subject"":{""figure"":""Lone person"",""attire"":""Red hooded jacket"",""pose"":""Head tilted upwards"",""perspective"":""Low angle view""},""scene_elements"":{""dynamic_action"":{""description"":""Chaotic swirl of numerous black birds taking flight"",""interaction"":""Merging into a vibrant, intense red and orange glow""},""foreground"":""Lower part shrouded in dark, smoky shadows""},""lighting_and_atmosphere"":{""type"":""Dramatic"",""source"":""Powerful red backlight"",""effects"":""Illuminating birds and surrounding atmosphere"",""palette"":[""Intense Red"",""Vibrant Orange"",""Black"",""Smoky Dark Grey""]}}",Image Generation / Dramatic Illustration
"{""prompt_data"":{""description"":""Hyper-realistic 8K editorial frame, model sitting gracefully on rustic wooden fence, horse standing nearby grazing, ringlets hairstyle illuminated by dramatic sunset, warm light wrapping around silhouette, soft smile, thoughtful expression, sense of calm reflection, detailed texture of wood, fabric, and leather saddle, field background fading into golden haze, cinematic contrast and shadows, vibe nostalgic, gentle, romantic realism"",""parameters"":{""ar"":""3:4"",""style"":""photographic"",""lighting"":""cinematic"",""quality"":""2"",""version"":""6""},""signature"":{""text"":""Shreya Yadav"",""placement"":""Integrated into image""}}}",Image Generation / Photorealistic Editorial Portrait
"{""scene"":""Solitary person walking through a dense pine forest"",""description"":""Ultra-photorealistic 4K cinematic portrait of a person surrounded by thick rolling fog, captured in a three-quarter turn, mid-step, with a calm and slightly curious expression."",""subjects"":[{""type"":""human"",""description"":""A person wearing a dark moss-green wool overcoat that flows slightly with movement, a charcoal turtleneck, and a vintage leather satchel strap across the chest. Heavy boots show traces of wet soil and pine needles. Fine moisture beads on fabric and hair, droplets visible on eyelashes and brows."",""position"":""Center frame, slightly off to the left"",""pose"":""Walking slowly, one hand gently parting the fog or brushing a low pine branch in the foreground.""}],""environment"":{""location"":""Dense pine forest"",""props"":[""low pine branches"",""thick rolling fog""],""background"":""Tall pine trees fading into layers of mist.""},""visual_style"":{""style"":""hyper-real cinematic photography"",""mood"":""calm, alert, slightly curious"",""color_palette"":[""cool green"",""blue""],""lighting"":""Natural daylight filtering through the canopy, forming realistic volumetric god-rays.""},""camera"":{""angle"":""85mm lens with f/1.8 aperture, shallow depth of field"",""distance"":""Close-up on the subject, sharp focus on face and hand with background dissolving into soft bokeh.""},""technical"":{""resolution"":""3840 × 5760"",""quality"":""HDR lighting with global illumination, realistic volumetric fog scattering, and subtle analog film grain.""}}",Image Generation / Cinematic Photorealistic Portrait
"{""request"":{""type"":""image_generation"",""parameters"":{""dimensions"":{""width"":1024,""height"":1024,""aspect_ratio"":""1:1""},""format"":""jpg"",""count"":1},""content"":{""prompt"":""Close-up black and white portrait of a man with tousled hair and a rough beard, tilting his head slightly upward as light falls dramatically from above. His eyes remain in shadow, creating a mysterious, powerful silhouette-like mood with strong contrast."",""negative_prompt"":null}}}",Image Generation / Black and White Portrait
"{""description"":""A cinematic, ultra-realistic monochrome portrait of a young woman with expressive eyes and a calm, intense gaze."",""subject"":{""gender"":""female"",""appearance"":{""hair"":""short, dark, neatly styled"",""eyes"":""striking, reflective highlights, highly expressive"",""skin"":""fair complexion with subtle freckles and realistic texture"",""lips"":""softly defined, natural shape"",""expression"":""calm, intense, direct gaze""},""clothing"":{""outfit"":""black attire with a white textured collar creating strong contrast""}},""environment"":{""background"":""smooth monochrome gradient, minimalist, draws focus to the face""},""lighting"":{""style"":""soft but high-contrast monochrome lighting"",""details"":""gentle highlights on facial features, subtle shadow depth"",""effect"":""cinematic, clean, refined""},""camera"":{""type"":""close-up portrait"",""quality"":""ultra-realistic, high-resolution, fine tonal range"",""focus"":""sharp on eyes and facial details, smooth background gradient""},""aesthetic"":{""tone"":""minimalist, artistic, elegant"",""qualities"":""high texture detail, crisp monochrome rendering, premium realism""}}",Image Generation / Monochrome Portrait
"{""project_title"":""Cinematic_Motion_Blur_Editorial"",""user_signature"":""Shreya Yadav"",""generation_parameters"":{""positive_prompt"":""High-fashion cinematic editorial portrait, medium shot. A subject facing the camera caught in a chaotic windstorm on a metropolitan street. Hundreds of flying newspapers swirling in the air, debris, heavy horizontal motion blur on the background and papers to convey intense speed and wind. The subject is wearing a [INSERT_OUTFIT_DETAILS_HERE]. The face is kept in sharp focus with hyper-realistic skin texture and dramatic lighting, while the environment is blurred. Vogue aesthetic, 8k resolution, masterpiece, depth of field, freeze-frame action shot."",""negative_prompt"":""static, calm, still air, blurry face, distorted features, cartoon, illustration, 3d render, bad anatomy, watermark, low quality, noise, grain, ugly, deformed."",""face_restoration_settings"":{""enabled"":true,""method"":""Face Swap / IP-Adapter"",""strength"":1,""instruction"":""Preserve exact identity and facial features of the source photo.""},""text_overlay"":{""content"":""Shreya Yadav"",""font_style"":""Handwritten Signature Script"",""position"":""Bottom Right"",""color"":""#FFFFFF"",""opacity"":0.85},""technical_settings"":{""aspect_ratio"":""2:3"",""sampler"":""DPM++ 2M Karras"",""steps"":30,""cfg_scale"":7}}}",Image Generation / Cinematic Editorial Portrait
"{""Objective"":""Generate a structured JSON version of a cinematic portrait prompt describing a young man in a modern art gallery."",""Scene_Details"":{""Environment"":""Modern art gallery with polished concrete floors, soft reflected lighting, and blurred background figures observing artwork."",""Primary_Backdrop"":""Large abstract painting behind the subject."",""Atmosphere"":""Serene, refined, museum-like ambience with soft shadows and natural color tones.""},""Subject_Details"":{""Identity"":""Young man with the same face as the reference image."",""Pose_and_Expression"":""Standing casually with a calm, relaxed expression. Sharp facial details and natural skin texture emphasized."",""Wardrobe"":{""Outerwear"":""Black wool overcoat"",""Top"":""Light beige crew-neck sweater"",""Bottoms"":""Tailored black trousers"",""Accessories"":[""Thin silver bracelet"",""Simple ring""],""Aesthetic"":""Clean, minimalist style""}},""Photography_Style"":{""Camera_Type"":""Cinematic full-frame DSLR"",""Resolution"":""Ultra-detailed 8K"",""Lighting"":""Soft overhead gallery lighting with subtle soft shadows"",""Look_and_Feel"":[""High-end editorial realism"",""Hyper-realistic portraiture"",""Cinematic depth and clarity""],""Focus"":[""Sharp facial detail"",""Natural skin texture"",""Realistic color tones""]},""Rendering_Enhancements"":{""Quality"":""Ultra-detailed"",""Depth_of_Field"":""Shallow DOF with blurred gallery figures in background"",""Realism_Notes"":""No artificial over-smoothing; maintain authentic textures and lighting transitions.""}}",Text Generation / Structured Prompt JSON
"{""subject"":{""description"":""Bearded man with tousled hair"",""pose"":""Leaning on a railing, looking intensely to the right"",""attire"":{""clothing"":""Dark open-collared shirt"",""accessories"":[""Silver rings"",""Silver bracelet""]}},""environment"":{""setting"":""Urban"",""background"":""Dark, blurred""},""art_direction"":{""medium"":""Black and white photography"",""mood"":[""Gritty"",""Serious"",""Contemplative""],""style"":[""Photorealistic"",""Cinematic"",""High contrast""]},""technical_specs"":{""camera"":{""shot_size"":""Mid-shot"",""angle"":""Eye level""},""lighting"":[""Dramatic shadows"",""Moody lighting""]}}",Image Generation / Black and White Photography Portrait
"{""subject"":{""description"":""A young Asian woman seated in a cozy 1980s family kitchen, recreated in a photorealistic, cinematic style with strong nostalgic and melancholic tones."",""face_features"":""Keep her original face features exactly the same. Maintain 100% facial similarity to the reference photo."",""expression"":""A shy, soft smile while looking toward the camera."",""hair"":{""style"":""Long black hair reaching below the shoulders with extremely voluminous, soft bouncy waves."",""details"":""Subtle side part, sleek top (not puffy), both top sides neatly held with small hair clips."",""texture"":""Rich, wavy, and naturally full with 1980s softness.""},""pose"":""Sitting casually on a rattan chair, both elbows resting on the table, leaning slightly forward in a relaxed candid posture."",""outfit_description"":""A short-sleeve, fit-body rayon shirt with rolled sleeve edges, featuring purple floral patterns on a turquoise-green base.""},""outfit"":{""type"":""Vintage 1980s floral rayon shirt"",""color"":""Turquoise-green base with purple floral patterns"",""details"":{""style"":""Fit-body, soft rayon fabric"",""sleeves"":""Short sleeves with the edges rolled up"",""aesthetic"":""Warm, muted vintage tones with nostalgic pastel fade""}},""environment"":{""background"":""A warmly lit 1980s Indonesian family kitchen captured with soft analog focus."",""elements"":[""aged cream-painted teakwood walls"",""old family photos"",""a vintage wall clock"",""decorative wall flowers"",""black-painted wooden shelves with ceramics and 80s trinkets"",""a sewing table with its machine pushed against the wall"",""white lace curtains used as a room divider"",""an old CRT television with antenna""],""table_setup"":[""a warm cup of tea in a white ceramic cup with rose-motif saucer"",""a glass plate of assorted Indonesian traditional snacks"",""a glass jar filled with kerupuk""],""chair"":""A rattan chair with an olive-green floral cushion"",""lighting"":""Direct flash from an analog camera as the key light, mixed with warm yellow indoor lighting and slight window light.""},""aesthetic"":{""style"":""Photorealistic, cinematic, retro 1980s family candid photo"",""vibe"":""Warm, nostalgic, melancholic, cozy and intimate"",""film_look"":{""type"":""Old Kodak Gold film"",""qualities"":""authentic film grain (no digital noise), warm–faded tones, greenish-brown shadows, soft highlights, slightly muddy shadows, minimal depth of field like f/3.5–f/5.6"",""camera"":""80s film point-and-shoot / compact analog camera with direct flash""},""color_grade"":""Warm yellowish-purple mixed with soft brown and faded vintage pastel tones"",""print_detail"":""Handwritten black-marker note “15.10.88” in the bottom-right corner""}}",Image Generation / Vintage Style Photorealistic Portrait
