prompts,Metadata / Instruction
"Ultra-detailed, hyper-realistic, cinematic, aspect ratio 9:16. Low-angle camera shot slightly looking upward, capturing a young man (face and hair 100% photo reference) wearing an earthy red coat and an olive-yellow knitted hood scarf that explicitly wraps around the head and neck without change. A bright-furred Maine Coon cat sits on top of the hood, looking towards the light coming from behind. Pose: the man stands upright, turning his head slightly to the side.",Image Generation / Cinematic Portrait
"A highly realistic portrait of a man based on the original model (facial structure, hairstyle and body must be 100% identical to the reference image - no alterations allowed) with emphasis on fine, subtle skin details. Creates an ultra-realistic 8K photo. The photo should be in a professional, cinematic style with a gray-ish tone.

Story: A young man has a two-block haircut, parted slightly down the middle (70:30 ratio).He wears an oversized, washed black denim jacket over a plain white crew-neck t-shirt, paired with faded blue cargo jeans. His accessories consist of simple silver rings on his middle and ring fingers, and a chain necklace with a cross pendant. He is holding a black glass in one hand.

He sat on a wooden bench outdoors in front of a coffee shop with a blurred sign that said ""BLACK COFFEE.""He poses casually, but still in a high-fashion way, and he looks directly into the camera with a calm and neutral expression.

Natural cosmetics, natural lip color, use soft, natural evening light, avoid

intense shadow

Area 1

Camera settings: f/1.8, ISO 200, 85mm lens,",Image Generation / Photorealistic Portrait
,
"Unplanned paparazzi style portrait, an intense, close-up moment capturing a man with striking features as he [looks over his shoulder with a confident smirk]. Shot from a slightly low angle, showing only his face and shoulders amidst a blurred, bustling crowd. The image feels raw and spontaneous, lit by a harsh flash, high-ISO texture. He's wearing [a dark turtleneck and stylish sunglasses], embodying effortless street style chic, the energy and atmosphere reminiscent of Paris Fashion Week chaos.",Image Generation / Paparazzi Style Portrait
"A bold, alternative-style young woman in her mid-20s with a powerful, confident attitude. She has a half-shaved undercut hairstyle: one side closely shaved, the other side long, straight platinum-blonde hair falling over her shoulder. Her skin is light-medium with a natural matte finish, showing realistic skin texture, subtle pores, faint micro-imperfections, and soft natural highlights. No plastic smoothness. Her makeup is sharp but realistic: defined brows, warm smokey eyes, clean eyeliner, and matte pink lips. Her gaze is piercing and dominant.
Her upper body and arms are covered in detailed black-and-grey tattoos: large floral pieces, bold linework, realistic shading, and a coiled dragon tattoo across her lower abdomen. Her neck features layered ornamental motifs. Tattoos look slightly textured.
She wears a black fitted crop top and an open beige shirt with rolled sleeves. Accessories include layered black chokers, thin chains, small black earrings, and subtle piercings.
Pose: She stands with both hands placed behind her head, elbows lifted wide in a strong V-shape. Fingers loosely interlocked. This pose raises her shoulders slightly and forms a subtle S-curve through her torso. Her head tilts a few degrees while maintaining direct eye contact with the viewer. Posture grounded and assertive.
Background: A deep red studio backdrop, matte and slightly textured. Subtle gradient shadows around the edges. Clean, minimal, high-fashion red atmosphere.
Lighting: Moody low-key studio lighting. A warm key light from the front-left enhances natural skin grain and pores without over-smoothing. A soft rim light from the right outlines her hair and shoulders. Gentle, realistic shadow transitions along her torso and arms. Balanced cinematic contrast.
Camera & Technical: Full-frame camera with a 50mm or 85mm lens at f/2.2. Wider composition to keep both elbows fully inside the frame.
High-resolution but non-airbrushed rendering, preserved micro-detail, slight film-like grain, soft vignette, deep red color depth. No beauty-filter effect.
Mood & Imperfections: Realistic, powerful, alternative, stylish. Visible fine skin texture, tiny freckles, mild uneven highlights, soft grain in shadows for natural authenticity.",Image Generation / Alternative Fashion Portrait
"Create a 90s style portrait of the same man as in the reference photo, keeping his exact facial features and expression. The image should look as if it was clicked with a 1990s film camera, slightly grainy with warm tones. The scene takes place in a cozy, dimly lit room where a camera flash is clearly visible, casting a focused light on the man while the background remains slightly shadowed.
Only the upper half of his body is visible in the frame. He is posing elegantly, wearing a simple yet stylish 90s outfit such as a casual shirt or turtleneck that complements the warm indoor setting.
The background features a white wall with a few magazine clippings and posters of Hollywood stars from the 90s pinned to it, adding a nostalgic touch. The overall mood should evoke a classic retro portrait look, natural yet artistically lit.",Image Generation / Retro 90s Portrait
"A high-resolution 8K full-length portrait of an attractive man [reference face in the photo] with dark, messy/wind-swept hair. His facial expression is calm, slightly melancholic, and he is looking back (toward the camera).

​Clothing: Wearing a dark brown or dark gray hoodie or oversized jacket with a geometric pattern on the back (white/light gray). The clothing appears loose and weathered.

​Action: Standing on the edge of a damaged wooden pier or rock, looking back toward the camera while facing the sea.

​Environment, Ambiance, and Lighting:
​Environment: Seashore or pier at sunset or dusk. Waves gently ripple and reflect light.

​Background: In the distance, the silhouettes of several sailing ships or boats anchored on the horizon.

​Aves: Numerous seabirds (Seagulls) fly in the sky, adding dynamics to the atmosphere.

​Lighting: Dramatic Golden Hour lighting. The orange-red light from the setting sun reflects strongly on the choppy water surface, creating intense orange/yellow specular highlights and glowing waves. The sky above is a deep blue/purple.

​Atmosphere: A cool, melancholic, and epic atmosphere.

​Composition:
​Composition: Vertical portrait. The character is in the center of the frame, with the wooden plank in the lower left drawing the eye inward. The waves in the lower right strongly reflect the sunset light.",Image Generation / Dramatic Landscape Portrait
"Portrait: A medium-length portrait of the subject (with the same face and hairstyle as the submitted image, without altering the facial expression) posing in a relaxed manner, with one leg crossed over the other and looking directly at the camera. Their right hand is raised near their face, forming a heart shape with the fingers curled inwards, suggesting a heart sign and conveying a warm and friendly feeling. They have a toned, flat abdomen. Their legs are long and slender, with defined calves.

Clothing and Footwear: Whenever a flat lay image is available alongside the reference image, priority should be given to dressing the subject in the clothing shown in the flat lay image. When this is not available, dress the subject according to the following description: the subject is wearing a basic black boxy T-shirt and light-wash jeans. The garment is fitted, accentuating their slender and athletic figure, with narrow shoulders and toned arms. On their feet, they are wearing white Nike Air Force 1 sneakers. On their left wrist, a red watch.  Around her neck, a discreet gold necklace, and Ray-Ban Wayfarer sunglasses.

Setting: The setting is an urban street with a vibrant pink mural in the background, depicting a pair of open angel wings in shades of blue, white, and gray, with yellow accents. Above the mural, dense foliage of lush green trees completes the background, with no other urban elements visible. The ground is a concrete sidewalk with colorful graffiti and subtle paint marks.

Lighting: The sun is directly in front of the subject during the golden hour, bathing both the model and the mural in a soft, diffused golden light. This lighting creates a warm, ethereal glow, with light glimmers and a delicate bokeh effect. The Lensbaby OMNI Filter System is used to enhance the highlights and light patterns, along with the Crystal Seahorse filter to add unique reflections and visual effects.  The sky visible above the mural displays blended shades of blue, pink, and yellow, with scattered clouds that absorb and reflect the golden light.

Style: The style is realistic and cinematic, with a dreamy and ethereal atmosphere characteristic of the golden hour. The scene conveys warmth, optimism, and naturalness. The use of the Lensbaby OMNI Filter System and the Crystal Seahorse adds a dreamlike and artistic touch, with light and reflection effects that create a unique aesthetic. The quality is top-notch, with a focus on textural details, saturated colors, and a soft rendering of light.

Composition: The camera is positioned in a medium shot, slightly below the subject's eye level, allowing the subject to appear closer to the camera while the wings of the mural appear complete and perfectly aligned behind them. The subject is centered in front of the mural, with one leg casually crossed. Their hands form a mini heart shape at chest level, with their arms semi-extended.  The focus is sharp on the subject, the sunglasses and the necklace, with a soft, artistic blur on the mural and the trees in the background, accentuated by the effects of the Lensbaby, creating a magical depth of field and subtle reflections.",Image Generation / Stylized Urban Portrait
"Edit this photo into a vertical portrait, hyper-realistic, shot in 1080x1920 format, with cinematic lighting featuring sharp, intense contrast. Captured from a slightly low angle pointing upward, emphasizing the subject’s jawline and neck, the composition exudes calm dominance and sculptural elegance. The background is a deep, rich crimson red, creating a striking visual contrast with the model’s glowing skin and dark clothing.

The lighting is highly directional, highlighting one side of the face with warm golden accents while the other side sinks into velvet shadows, emphasizing bone structure with almost architectural precision. The subject’s expression is unreadable, eyes cool-colored and half-closed, lips relaxed—suggesting nonchalance or quiet defiance.

The model wears a thick wool or felt coat, with richly defined textures atop the subtle dew-like glow of the skin. Minimal retouching preserves skin texture and slight imperfections, adding realism. Editorial tension is created through clo",Image Generation / Cinematic Vertical Portrait
,
Generate a diagram of a two-layer neural network in the style of Stephen Biesty,Diagram Generation / Neural Network
A photo of the world when GTA 6 is released.,Image Generation / Futuristic Scene
A photo of the sci-fi books I should read,Image Generation / Bookshelf Display
"i need a flowchart for how to toast bread, make it as wacky and over the top and complicated as possible.",Diagram Generation / Wacky Flowchart
